"feature_id"	"canonical_gene_id"	"annotation_gene_id"	"common_name"	"synonyms"	"description"	"display_label"	"search_tokens"
"LotjaGi1g1v0007800"	"LotjaGi1g1v0007800"					"LotjaGi1g1v0007800"	"LotjaGi1g1v0007800"
"LotjaGi1g1v0007900"	"LotjaGi1g1v0007900"					"LotjaGi1g1v0007900"	"LotjaGi1g1v0007900"
"LotjaGi1g1v0008000"	"LotjaGi1g1v0008000"					"LotjaGi1g1v0008000"	"LotjaGi1g1v0008000"
"LotjaGi1g1v0008100"	"LotjaGi1g1v0008100"					"LotjaGi1g1v0008100"	"LotjaGi1g1v0008100"
"LotjaGi1g1v0008200-LC"	"LotjaGi1g1v0008200-LC"					"LotjaGi1g1v0008200-LC"	"LotjaGi1g1v0008200-LC"
"LotjaGi1g1v0008300"	"LotjaGi1g1v0008300"					"LotjaGi1g1v0008300"	"LotjaGi1g1v0008300"
"LotjaGi1g1v0008400"	"LotjaGi1g1v0008400"					"LotjaGi1g1v0008400"	"LotjaGi1g1v0008400"
"LotjaGi1g1v0008500"	"LotjaGi1g1v0008500"					"LotjaGi1g1v0008500"	"LotjaGi1g1v0008500"
"LotjaGi1g1v0008600-LC"	"LotjaGi1g1v0008600-LC"					"LotjaGi1g1v0008600-LC"	"LotjaGi1g1v0008600-LC"
"LotjaGi1g1v0008700-LC"	"LotjaGi1g1v0008700-LC"					"LotjaGi1g1v0008700-LC"	"LotjaGi1g1v0008700-LC"
"LotjaGi1g1v0008900"	"LotjaGi1g1v0008900"					"LotjaGi1g1v0008900"	"LotjaGi1g1v0008900"
"LotjaGi1g1v0009000"	"LotjaGi1g1v0009000"					"LotjaGi1g1v0009000"	"LotjaGi1g1v0009000"
"LotjaGi1g1v0009100-LC"	"LotjaGi1g1v0009100-LC"					"LotjaGi1g1v0009100-LC"	"LotjaGi1g1v0009100-LC"
"LotjaGi1g1v0009200-LC"	"LotjaGi1g1v0009200-LC"					"LotjaGi1g1v0009200-LC"	"LotjaGi1g1v0009200-LC"
"LotjaGi1g1v0009400"	"LotjaGi1g1v0009400"					"LotjaGi1g1v0009400"	"LotjaGi1g1v0009400"
"LotjaGi1g1v0009300"	"LotjaGi1g1v0009300"					"LotjaGi1g1v0009300"	"LotjaGi1g1v0009300"
"LotjaGi1g1v0009500"	"LotjaGi1g1v0009500"					"LotjaGi1g1v0009500"	"LotjaGi1g1v0009500"
"LotjaGi1g1v0009600"	"LotjaGi1g1v0009600"					"LotjaGi1g1v0009600"	"LotjaGi1g1v0009600"
"LotjaGi1g1v0009700"	"LotjaGi1g1v0009700"					"LotjaGi1g1v0009700"	"LotjaGi1g1v0009700"
"LotjaGi1g1v0009900"	"LotjaGi1g1v0009900"					"LotjaGi1g1v0009900"	"LotjaGi1g1v0009900"
"LotjaGi1g1v0010000"	"LotjaGi1g1v0010000"					"LotjaGi1g1v0010000"	"LotjaGi1g1v0010000"
"LotjaGi1g1v0010100"	"LotjaGi1g1v0010100"					"LotjaGi1g1v0010100"	"LotjaGi1g1v0010100"
"LotjaGi1g1v0010200"	"LotjaGi1g1v0010200"					"LotjaGi1g1v0010200"	"LotjaGi1g1v0010200"
