"canonical_gene_id"	"feature_id"
"MtrunA17Chr1g0200011"	"MtrunA17Chr1g0200011"
"MtrunA17Chr1g0200211"	"MtrunA17Chr1g0200211"
"MtrunA17Chr1g0200511"	"MtrunA17Chr1g0200511"
"MtrunA17Chr1g0200601"	"MtrunA17Chr1g0200601"
"MtrunA17Chr1g0201081"	"MtrunA17Chr1g0201081"
"MtrunA17Chr1g0201461"	"MtrunA17Chr1g0201461"
"MtrunA17Chr1g0201721"	"MtrunA17Chr1g0201721"
"MtrunA17Chr1g0201731"	"MtrunA17Chr1g0201731"
"MtrunA17Chr1g0202391"	"MtrunA17Chr1g0202391"
"MtrunA17Chr1g0202411"	"MtrunA17Chr1g0202411"
"MtrunA17Chr1g0202431"	"MtrunA17Chr1g0202431"
"MtrunA17Chr1g0203091"	"MtrunA17Chr1g0203091"
"MtrunA17Chr1g0203871"	"MtrunA17Chr1g0203871"
"MtrunA17Chr1g0204011"	"MtrunA17Chr1g0204011"
"MtrunA17Chr1g0204361"	"MtrunA17Chr1g0204361"
"MtrunA17Chr1g0204761"	"MtrunA17Chr1g0204761"
"MtrunA17Chr1g0205081"	"MtrunA17Chr1g0205081"
"MtrunA17Chr1g0205171"	"MtrunA17Chr1g0205171"
"MtrunA17Chr1g0205571"	"MtrunA17Chr1g0205571"
"MtrunA17Chr1g0205871"	"MtrunA17Chr1g0205871"
"MtrunA17Chr1g0206961"	"MtrunA17Chr1g0206961"
"MtrunA17Chr1g0207021"	"MtrunA17Chr1g0207021"
"MtrunA17Chr1g0207181"	"MtrunA17Chr1g0207181"
"MtrunA17Chr1g0207541"	"MtrunA17Chr1g0207541"
"MtrunA17Chr1g0207571"	"MtrunA17Chr1g0207571"
"MtrunA17Chr1g0207581"	"MtrunA17Chr1g0207581"
"MtrunA17Chr1g0207811"	"MtrunA17Chr1g0207811"
"MtrunA17Chr1g0207821"	"MtrunA17Chr1g0207821"
"MtrunA17Chr1g0207981"	"MtrunA17Chr1g0207981"
"MtrunA17Chr1g0208141"	"MtrunA17Chr1g0208141"
"MtrunA17Chr1g0209091"	"MtrunA17Chr1g0209091"
"MtrunA17Chr1g0209221"	"MtrunA17Chr1g0209221"
"MtrunA17Chr1g0209451"	"MtrunA17Chr1g0209451"
"MtrunA17Chr1g0209511"	"MtrunA17Chr1g0209511"
"MtrunA17Chr1g0209541"	"MtrunA17Chr1g0209541"
"MtrunA17Chr1g0209551"	"MtrunA17Chr1g0209551"
"MtrunA17Chr1g0209801"	"MtrunA17Chr1g0209801"
"MtrunA17Chr1g0210111"	"MtrunA17Chr1g0210111"
"MtrunA17Chr1g0210371"	"MtrunA17Chr1g0210371"
"MtrunA17Chr1g0210591"	"MtrunA17Chr1g0210591"
"MtrunA17Chr1g0210681"	"MtrunA17Chr1g0210681"
"MtrunA17Chr1g0210791"	"MtrunA17Chr1g0210791"
"MtrunA17Chr1g0210951"	"MtrunA17Chr1g0210951"
"MtrunA17Chr1g0210971"	"MtrunA17Chr1g0210971"
"MtrunA17Chr1g0211781"	"MtrunA17Chr1g0211781"
"MtrunA17Chr1g0211971"	"MtrunA17Chr1g0211971"
"MtrunA17Chr1g0211991"	"MtrunA17Chr1g0211991"
"MtrunA17Chr1g0212001"	"MtrunA17Chr1g0212001"
"MtrunA17Chr1g0212301"	"MtrunA17Chr1g0212301"
"MtrunA17Chr1g0212361"	"MtrunA17Chr1g0212361"
"MtrunA17Chr1g0212371"	"MtrunA17Chr1g0212371"
"MtrunA17Chr1g0212551"	"MtrunA17Chr1g0212551"
"MtrunA17Chr1g0212931"	"MtrunA17Chr1g0212931"
"MtrunA17Chr1g0213091"	"MtrunA17Chr1g0213091"
"MtrunA17Chr1g0213231"	"MtrunA17Chr1g0213231"
"MtrunA17Chr1g0213271"	"MtrunA17Chr1g0213271"
"MtrunA17Chr1g0213291"	"MtrunA17Chr1g0213291"
"MtrunA17Chr1g0213331"	"MtrunA17Chr1g0213331"
"MtrunA17Chr1g0213501"	"MtrunA17Chr1g0213501"
"MtrunA17Chr1g0213671"	"MtrunA17Chr1g0213671"
"MtrunA17Chr1g0213801"	"MtrunA17Chr1g0213801"
"MtrunA17Chr1g0213961"	"MtrunA17Chr1g0213961"
"MtrunA17Chr2g0276721"	"MtrunA17Chr2g0276721"
"MtrunA17Chr2g0276741"	"MtrunA17Chr2g0276741"
"MtrunA17Chr2g0276891"	"MtrunA17Chr2g0276891"
"MtrunA17Chr2g0276961"	"MtrunA17Chr2g0276961"
"MtrunA17Chr2g0277681"	"MtrunA17Chr2g0277681"
"MtrunA17Chr2g0277971"	"MtrunA17Chr2g0277971"
"MtrunA17Chr2g0278321"	"MtrunA17Chr2g0278321"
"MtrunA17Chr2g0278581"	"MtrunA17Chr2g0278581"
"MtrunA17Chr2g0278591"	"MtrunA17Chr2g0278591"
"MtrunA17Chr2g0279131"	"MtrunA17Chr2g0279131"
"MtrunA17Chr2g0279321"	"MtrunA17Chr2g0279321"
"MtrunA17Chr2g0279361"	"MtrunA17Chr2g0279361"
